fullName,monoMass
leu/ile->lys substitution,15.010899
val->asp substitution,15.958529
leu/ile->glu substitution,15.958529
ser->cys substitution,15.977156
oxidation or hydroxylation,15.994915
ala->ser substitution,15.994915
phe->tyr substitution,15.994915
asp->met substitution,16.013542
met->phe substitution,16.027929
pro->leu/ile substitution,16.0313
pro->asn substitution,16.990164
asn->met substitution,16.997557
leu/ile->met substitution,17.956421
pro->asp substitution,17.974179
dehydrated,18.010565
glu->phe substitution,18.025821
lys->phe substitution,18.973451
gln->phe substitution,19.009836
his->arg substitution,19.042199
Trp-> Hydroxykynurenin,19.989
asp->his substitution,22.031969
asn->his substitution,23.015984
tyr->trp substitution,23.015984
leu/ile->his substitution,23.974848
cys->gln substitution,25.049393
met->arg substitution,25.060626
cys->lys substitution,25.085779
his->tyr substitution,26.004417
ala->pro substitution,26.01565
cys->glu substitution,26.033409
ser->leu/ile substitution,26.052036
ser->asn substitution,27.010899
thr->gln substitution,27.010899
thr->lys substitution,27.047285
glu->arg substitution,27.058518
ser->asp substitution,27.994915
thr->glu substitution,27.994915
lys->arg substitution,28.006148
ala->val substitution,28.0313
cys->met substitution,28.0313
gln->arg substitution,28.042534
val->gln substitution,28.990164
val->lys substitution,29.026549
val->glu substitution,29.974179
arg->trp substitution,29.978202
thr->met substitution,29.992806
ala->thr substitution,30.010565
gly->ser substitution,30.010565
pro->gln substitution,31.005814
pro->lys substitution,31.042199
val->met substitution,31.972071
ala->cys substitution,31.972071
pro->glu substitution,31.989829
met->tyr substitution,32.022844
asp->phe substitution,32.041471
asn->phe substitution,33.025486
leu/ile->phe substitution,33.98435
pro->met substitution,33.987721
glu->tyr substitution,34.020735
cys->his substitution,34.049727
lys->tyr substitution,34.968366
gln->tyr substitution,35.004751
thr->his substitution,36.011233
val->his substitution,37.990498
phe->trp substitution,39.010899
pro->his substitution,40.006148
gly->pro substitution,40.0313
ser->gln substitution,41.026549
ser->lys substitution,41.062935
asp->arg substitution,41.074168
ser->glu substitution,42.010565
gly->val substitution,42.04695
ala->leu/ile substitution,42.04695
asn->arg substitution,42.058184
ala->asn substitution,43.005814
leu/ile->arg substitution,43.017047
ala->asp substitution,43.989829
ser->met substitution,44.008456
gly->thr substitution,44.026215
cys->phe substitution,44.059229
